NS_SA_ID,NS_ETAB_ID,TE_STRUCTURE,CO_DEGRE_SPEC,CO_ANNEE_ETUDES,CO_OPTION,TE_INTITULE,DT_DEBUT,DT_FIN,DT_EXPIRATION,TE_STATUT,NS_PARAM_ID_SA,NS_OBJ_ID_DEGR_SPEC,NS_OBJ_ID_ANNEE_ETUDE,NS_OBJ_ID_SA,NS_PARAM_ID_STATUT
292,2665,Option de base groupée,1 D3 P,1 D3 5 P,4310,BOULANGER-PATISSIER/BOULANGERE-PATISSIERE,2014-09-01,9999-12-31,,En cours,6022,57,126,842,6030
293,2665,Option de base groupée,1 D3 P,1 D3 7B P,4311,CHOCOLATIER-CONFISEUR-GLACIER/CHOCOLATIERE-CONFISEUSE-GLACIERE,2014-09-01,9999-12-31,,En cours,6022,57,128,843,6030
297,2665,Option de base groupée,1 D3 P,1 D3 7B P,8324,COMPLEMENT EN VENTE EN PARFUMERIE,2014-09-01,2021-08-31,,En cours,6022,57,128,935,6030
299,2665,Option de base groupée,1 D3 TQ,1 D3 5 TQ,8405,ANIMATEUR/ANIMATRICE,2014-09-01,9999-12-31,,En cours,6022,58,132,939,6030
306,2865,Option de base simple,1 D2 G,1 D2 3 G,2120,LANGUE MODERNE II ANGLAIS,2014-09-01,9999-12-31,,En cours,6023,49,105,1587,6030
307,2865,Option de base simple,1 D2 G,1 D2 3 G,2121,LANGUE MODERNE II NEERLANDAIS,2014-09-01,9999-12-31,,En cours,6023,49,105,1591,6030
316,2865,Option de base groupée,1 D2 P,1 D2 3 P,8108,SERVICES SOCIAUX,2014-09-01,9999-12-31,,En cours,6022,50,107,909,6030
326,2865,Option de base simple,1 D3 G,1 D3 5 G,2007,LANGUE MODERNE I ANGLAIS,2014-09-01,9999-12-31,,En cours,6023,56,121,1583,6030
327,2865,Option de base simple,1 D3 G,1 D3 5 G,2008,LANGUE MODERNE I NEERLANDAIS,2014-09-01,9999-12-31,,En cours,6023,56,121,1584,6030
328,2865,Option de base simple,1 D3 G,1 D3 5 G,2120,LANGUE MODERNE II ANGLAIS,2014-09-01,9999-12-31,,En cours,6023,56,121,1587,6030
329,2865,Option de base simple,1 D3 G,1 D3 5 G,2121,LANGUE MODERNE II NEERLANDAIS,2014-09-01,9999-12-31,,En cours,6023,56,121,1591,6030
344,2865,Option de base groupée,1 D3 P,1 D3 5 P,8207,PUERICULTURE,2014-09-01,9999-12-31,,En cours,6022,57,126,919,6030
355,908,Option de base simple,1 D2 G,1 D2 3 G,2120,LANGUE MODERNE II ANGLAIS,2014-09-01,9999-12-31,,En cours,6023,49,105,1587,6030
356,908,Option de base simple,1 D2 G,1 D2 3 G,2121,LANGUE MODERNE II NEERLANDAIS,2014-09-01,9999-12-31,,En cours,6023,49,105,1591,6030
357,908,Option de base simple,1 D2 G,1 D2 3 G,2652,SCIENCES ECONOMIQUES,2014-09-01,9999-12-31,,En cours,6023,49,105,1822,6030
358,908,Option de base simple,1 D2 G,1 D2 3 G,2664,SCIENCES SOCIALES,2014-09-01,9999-12-31,,En cours,6023,49,105,1831,6030
359,908,Option de base simple,1 D2 G,1 D2 3 G,2814,LATIN,2014-09-01,9999-12-31,,En cours,6023,49,105,1607,6030
363,908,Option de base simple,1 D3 G,1 D3 5 G,2007,LANGUE MODERNE I ANGLAIS,2014-09-01,9999-12-31,,En cours,6023,56,121,1583,6030
364,908,Option de base simple,1 D3 G,1 D3 5 G,2008,LANGUE MODERNE I NEERLANDAIS,2014-09-01,9999-12-31,,En cours,6023,56,121,1584,6030
365,908,Option de base simple,1 D3 G,1 D3 5 G,2120,LANGUE MODERNE II ANGLAIS,2014-09-01,9999-12-31,,En cours,6023,56,121,1587,6030
366,908,Option de base simple,1 D3 G,1 D3 5 G,2121,LANGUE MODERNE II NEERLANDAIS,2014-09-01,9999-12-31,,En cours,6023,56,121,1591,6030
367,908,Option de base simple,1 D3 G,1 D3 5 G,2209,LANGUE MODERNE III ALLEMAND,2014-09-01,9999-12-31,,En cours,6023,56,121,1593,6030
368,908,Option de base simple,1 D3 G,1 D3 5 G,2213,LANGUE MODERNE III ESPAGNOL,2014-09-01,9999-12-31,,En cours,6023,56,121,1596,6030
369,908,Option de base simple,1 D3 G,1 D3 5 G,2652,SCIENCES ECONOMIQUES,2014-09-01,9999-12-31,,En cours,6023,56,121,1822,6030
370,908,Option de base simple,1 D3 G,1 D3 5 G,2814,LATIN,2014-09-01,9999-12-31,,En cours,6023,56,121,1607,6030
371,908,Option de base simple,1 D3 G,1 D3 5 G,3101,MATHEMATIQUE,2014-09-01,9999-12-31,,En cours,6023,56,121,1629,6030
372,908,Option de base simple,1 D3 G,1 D3 5 G,5101,GEOGRAPHIE,2014-09-01,9999-12-31,,En cours,6023,56,121,1419,6030
373,908,Option de base simple,1 D3 G,1 D3 5 G,6101,SCIENCES,2014-09-01,9999-12-31,,En cours,6023,56,121,2493,6030
