DGSP_OBJ_ID,NS_ETAB_ID,1E_OBTENIR_CEB
1 D1 1D                  ,3206,1e_obtenir_ceb
1 D1 1D                  ,3226,1e_obtenir_ceb
1 D1 1D                  ,3230,1e_obtenir_ceb
1 D1 1D                  ,3236,1e_obtenir_ceb
1 D1 1D                  ,4809,1e_obtenir_ceb
1 D1 1D                  ,5143,1e_obtenir_ceb
1 D1 1D                  ,5381,1e_obtenir_ceb
1 D1 1D                  ,5983,1e_obtenir_ceb
1 D1 1D                  ,95194,1e_obtenir_ceb
1 D1 1D                  ,95264,1e_obtenir_ceb
1 D1 1D                  ,95265,1e_obtenir_ceb
1 D1 1D                  ,95313,1e_obtenir_ceb
1 D1 1D                  ,95314,1e_obtenir_ceb
1 D1 1D                  ,95330,1e_obtenir_ceb
1 D1 1D                  ,95331,1e_obtenir_ceb
1 D1 1D                  ,95332,1e_obtenir_ceb
1 D1 1D                  ,95333,1e_obtenir_ceb
1 D1 1D                  ,95343,1e_obtenir_ceb
1 D1 1D                  ,95344,1e_obtenir_ceb
1 D1 1D                  ,95345,1e_obtenir_ceb
1 D1 1D                  ,95372,1e_obtenir_ceb
1 D1 1D                  ,95375,1e_obtenir_ceb
1 D1 1D                  ,95383,1e_obtenir_ceb
1 D1 1D                  ,95428,1e_obtenir_ceb
1 D1 1D                  ,95460,1e_obtenir_ceb
1 D1 1D                  ,95478,1e_obtenir_ceb
1 D1 1D                  ,95497,1e_obtenir_ceb
1 D1 1D                  ,95498,1e_obtenir_ceb
1 D1 1D                  ,95499,1e_obtenir_ceb
1 D1 1D                  ,95500,1e_obtenir_ceb
1 D1 1D                  ,95523,1e_obtenir_ceb
1 D1 1D                  ,95525,1e_obtenir_ceb
1 D1 1D                  ,95528,1e_obtenir_ceb
1 D1 1D                  ,95555,1e_obtenir_ceb
1 D1 1D                  ,95570,1e_obtenir_ceb
1 D1 1D                  ,95576,1e_obtenir_ceb
1 D1 1D                  ,95577,1e_obtenir_ceb
1 D1 1D                  ,95579,1e_obtenir_ceb
1 D1 1D                  ,95584,1e_obtenir_ceb
1 D1 1D                  ,95589,1e_obtenir_ceb
1 D1 1D                  ,95605,1e_obtenir_ceb
1 D1 1D                  ,95606,1e_obtenir_ceb
1 D1 1D                  ,95609,1e_obtenir_ceb
