"NS_ETAB_ID","CO_ETUDE_ID","TE_LIBL_CRT","CO_UNI_ID","DT_DEBUT","DT_FIN"
2826,PQI3 ,R D2 3 P                 ,"119",2014-09-01,9999-12-31
2826,PQI34,R D3 P 45                ,"119",2014-09-01,9999-12-31
2826,PQI4 ,R D2 4 P                 ,"119",2014-09-01,9999-12-31
2826,PQSC ,R D3 3 C P               ,"119",2014-09-01,9999-12-31
2826,PQS1 ,R D3 5 P                 ,"119",2014-09-01,9999-12-31
2826,PQS2 ,R D3 6 P                 ,"119",2014-09-01,9999-12-31
2826,PQS3 ,R D3 7B P                ,"119",2014-09-01,9999-12-31
2826,PQ2CC,"1 DQ C2D P               ","112",2019-09-01,9999-12-31
2826,PQ21 ,"1 D2 3 P                 ","112",2014-09-01,9999-12-31
2826,PQ22 ,"1 D2 4 P                 ","112",2014-09-01,9999-12-31
2826,PQ3C ,"1 D3 3C P                ","112",2015-09-01,9999-12-31
2826,PQ31 ,"1 D3 5 P                 ","112",2014-09-01,9999-12-31
2826,PQ32 ,"1 D3 6 P                 ","112",2014-09-01,9999-12-31
2826,PQ33B,"1 D3 7B P                ","112",2014-09-01,9999-12-31
2826,PQ33C,"1 D3 7C P                ","112",2014-09-01,9999-12-31
2826,TQC4 ,"1 DQ 4 TQ                ","112",2018-09-01,9999-12-31
2826,TQC4C,R DQ 4 TQ                ,"119",2021-09-01,9999-12-31
2826,TQC5C,R DQ 5 TQ                ,"119",2021-09-01,9999-12-31
2826,TQC6C,R DQ 6 TQ                ,"119",2021-09-01,9999-12-31
2826,TQD2C,R DQ C2D TQ              ,"119",2021-09-01,9999-12-31
2826,TQ21 ,"1 D2 3 TQ                ","112",2014-09-01,9999-12-31
2826,TQ22 ,"1 D2 4 TQ                ","112",2014-09-01,9999-12-31
2826,TQ22R,"1 D2 4R TQ               ","112",2014-09-01,9999-12-31
2826,TQ3C ,"1 D3 3C TQ               ","112",2014-09-01,9999-12-31
2826,TQ31 ,"1 D3 5 TQ                ","112",2014-09-01,9999-12-31
2826,TQ32 ,"1 D3 6 TQ                ","112",2014-09-01,9999-12-31
2826,TQ33 ,"1 D3 7 TQ                ","112",2014-09-01,9999-12-31
2826,TT21 ,"1 D2 3 TT                ","112",2017-09-01,9999-12-31
2826,TT22 ,"1 D2 4 TT                ","112",2017-09-01,9999-12-31
2826,TT22R,"1 D2 4R TT               ","112",2017-09-01,9999-12-31
2826,TT31 ,"1 D3 5 TT                ","112",2021-09-01,2021-09-30
2826,TT32 ,"1 D3 6 TT                ","112",2021-09-01,2021-09-30
2827,GT11C,"1 D1 1C                  ","112",2014-09-01,2018-01-14
2827,GT11C,"1 D1 1C                  ","112",2018-01-15,9999-12-31
2827,GT11S,"1 D1 1S                  ","112",2014-09-01,2018-01-14
2827,GT12C,"1 D1 2C                  ","112",2014-09-01,2018-01-14
2827,GT12C,"1 D1 2C                  ","112",2018-01-15,9999-12-31
2827,GT12S,"1 D1 2S                  ","112",2014-09-01,2018-01-14
2827,GT12S,"1 D1 2S                  ","112",2018-01-15,9999-12-31
2827,PQI24,R D2 P 45                ,"119",2014-09-01,9999-12-31
2827,PQI3 ,R D2 3 P                 ,"119",2014-09-01,9999-12-31
2827,PQI34,R D3 P 45                ,"119",2014-09-01,9999-12-31
2827,PQI4 ,R D2 4 P                 ,"119",2014-09-01,9999-12-31
2827,PQSC ,R D3 3 C P               ,"119",2014-09-01,9999-12-31
2827,PQS1 ,R D3 5 P                 ,"119",2014-09-01,9999-12-31
2827,PQS2 ,R D3 6 P                 ,"119",2014-09-01,9999-12-31
2827,PQS3 ,R D3 7B P                ,"119",2014-09-01,9999-12-31
2827,PQ21 ,"1 D2 3 P                 ","112",2014-09-01,9999-12-31
2827,PQ22 ,"1 D2 4 P                 ","112",2014-09-01,9999-12-31
2827,PQ3C ,"1 D3 3C P                ","112",2014-09-01,9999-12-31
2827,PQ31 ,"1 D3 5 P                 ","112",2014-09-01,9999-12-31
2827,PQ32 ,"1 D3 6 P                 ","112",2014-09-01,9999-12-31
2827,PQ33B,"1 D3 7B P                ","112",2014-09-01,9999-12-31
2827,PQ33C,"1 D3 7C P                ","112",2014-09-01,9999-12-31
2827,TQ21 ,"1 D2 3 TQ                ","112",2014-09-01,9999-12-31
2827,TQ22 ,"1 D2 4 TQ                ","112",2014-09-01,9999-12-31
2827,TQ22R,"1 D2 4R TQ               ","112",2014-09-01,9999-12-31
2827,TQ3C ,"1 D3 3C TQ               ","112",2014-09-01,9999-12-31
2827,TQ31 ,"1 D3 5 TQ                ","112",2014-09-01,9999-12-31
2827,TQ32 ,"1 D3 6 TQ                ","112",2014-09-01,9999-12-31
2827,TQ33 ,"1 D3 7 TQ                ","112",2014-09-01,9999-12-31
2827,TT21 ,"1 D2 3 TT                ","112",2014-09-01,2015-08-31
2827,TT21 ,"1 D2 3 TT                ","112",2015-09-01,2016-08-31
2827,TT21 ,"1 D2 3 TT                ","112",2016-09-01,2017-08-31
2827,TT21 ,"1 D2 3 TT                ","112",2017-09-01,2018-08-31
2827,TT22 ,"1 D2 4 TT                ","112",2014-09-01,2015-08-31
